t1,Portfolio,Benchmark
2010-02-26,0.0410,0.0285
2010-03-31,0.1141,0.0889
2010-04-30,0.1476,0.1048
2010-06-30,0.0893,0.0452
2010-07-30,0.1414,0.1170
2010-08-31,0.0753,0.0639
2010-09-30,0.2010,0.1569
2010-10-29,0.2273,0.1994
2010-11-30,0.2299,0.1966
2010-12-31,0.3297,0.2746
2011-01-31,0.3855,0.3033
2011-02-28,0.4628,0.3448
2011-03-31,0.4987,0.3433
2011-04-29,0.5476,0.3816
2011-05-31,0.5436,0.3629
2011-06-30,0.5258,0.3380
2011-07-29,0.4688,0.3093
2011-08-31,0.4024,0.2348
2011-09-30,0.2702,0.1462
2011-10-31,0.4691,0.2697
2011-11-30,0.4804,0.2633
2011-12-30,0.4910,0.2740
2012-01-31,0.5899,0.3296
2012-02-29,0.6686,0.3835
2012-03-30,0.7174,0.4269
2012-04-30,0.7278,0.4162
2012-05-31,0.6264,0.3273
2012-06-29,0.6820,0.3798
2012-07-31,0.6625,0.3972
2012-08-31,0.7296,0.4247
2012-09-28,0.7778,0.4591
2012-10-31,0.7821,0.4300
2012-11-30,0.8280,0.4340
2012-12-31,0.8513,0.4440
2013-01-31,0.9768,0.5168
2013-02-28,1.0142,0.5335
2013-04-30,1.0318,0.5613
2013-05-31,1.0778,0.5937
2013-06-28,1.0688,0.5698
2013-07-31,1.2169,0.6474
2013-08-30,1.1320,0.5959
2013-09-30,1.2332,0.6434
2013-10-31,1.3087,0.7166
2013-11-29,1.3741,0.7648
2013-12-31,1.4605,0.8064
2014-01-31,1.3993,0.7421
2014-02-28,1.5117,0.8172
2014-03-31,1.5358,0.8298
2014-04-30,1.5397,0.8412
2014-05-30,1.6114,0.8799
2014-06-30,1.6648,0.9157
2014-07-31,1.5802,0.8868
2014-08-29,1.7129,0.9579
2014-09-30,1.6609,0.9275
2014-10-31,1.7910,0.9722
2014-11-28,1.8826,1.0206
2014-12-31,1.9145,1.0121
2015-01-30,1.8392,0.9497
2015-02-27,2.0153,1.0567
2015-03-31,2.0083,1.0209
2015-04-30,1.9939,1.0381
2015-05-29,2.0569,1.0595
2015-06-30,2.0210,1.0162
2015-07-31,2.1418,1.0561
2015-08-31,1.9703,0.9274
2015-09-30,1.8911,0.8764
2015-10-30,2.0883,1.0321
2015-11-30,2.1196,1.0332
2015-12-31,2.0458,0.9973
2016-01-29,1.9229,0.8958
2016-02-29,1.9945,0.8876
2016-03-31,2.2284,1.0118
2016-04-29,2.2728,1.0170
2016-05-31,2.3717,1.0477
2016-06-30,2.3598,1.0491
2016-07-29,2.4770,1.1217
2016-08-31,2.4745,1.1187
2016-09-30,2.4682,1.1157
2016-10-31,2.3743,1.0741
2016-11-30,2.5289,1.1448
2016-12-30,2.5720,1.1832
2017-01-31,2.6726,1.2214
2017-02-28,2.8510,1.3031
2017-03-31,2.8631,1.3015
2017-04-28,2.9032,1.3213
2017-05-31,2.9749,1.3468
2017-06-30,3.0559,1.3567
2017-07-31,3.1091,1.4006
2017-08-31,3.1536,1.3998
2017-09-29,3.2606,1.4439
2017-10-31,3.3845,1.4960
2017-11-30,3.6366,1.5641
2017-12-29,3.6133,1.5870
2018-01-31,3.7953,1.7292
2018-02-28,3.6126,1.6199
2018-04-30,3.5992,1.6233
2018-05-31,3.6776,1.6764
2018-06-29,3.7675,1.6856
2018-07-31,3.9597,1.7780
2018-08-31,4.1197,1.8576
2018-09-28,4.1364,1.8656
2018-10-31,3.8802,1.6613
2018-11-30,4.0834,1.7040
2018-12-31,3.6656,1.4505
2019-01-31,4.0817,1.6381
2019-02-28,4.3413,1.7118
2019-03-29,4.4672,1.7553
2019-04-30,4.7491,1.8578
2019-05-31,4.5525,1.6638
2019-06-28,4.9212,1.8426
2019-07-31,5.0194,1.8745
2019-08-30,5.0926,1.8179
2019-09-30,5.1659,1.8613
2019-10-31,5.1982,1.9152
2019-11-29,5.3065,2.0109
2019-12-31,5.4105,2.0928
2020-01-31,5.5595,2.0837
2020-02-28,5.0446,1.8207
2020-03-31,4.3263,1.4641
2020-04-30,4.9720,1.7766
2020-05-29,5.3096,1.9021
2020-06-30,5.2664,1.9552
2020-07-31,5.7399,2.1177
2020-08-31,6.0643,2.3358
2020-09-30,5.9424,2.2046
2020-10-30,5.8801,2.1157
2020-11-30,6.4470,2.4504
2020-12-31,6.7225,2.5782
2021-01-29,6.5482,2.5379
2021-02-26,6.5400,2.6303
2021-03-31,7.0236,2.7843
2021-04-30,7.4573,2.9827
2021-06-30,7.4661,3.0712
2021-07-30,7.7024,3.1638
2021-08-31,7.9168,3.2845
2021-09-30,7.4855,3.0807
2021-10-29,8.1412,3.3628
2021-11-30,8.0183,3.3265
2021-12-31,8.6168,3.5147
2022-01-31,7.9487,3.2773
2022-02-28,7.7057,3.1432
2022-03-31,8.0553,3.2910
2022-04-29,7.4763,2.9131
2022-05-31,7.3954,2.9122
2022-06-30,6.9386,2.5815
2022-07-29,7.7999,2.9050
2022-08-31,7.4794,2.7318
2022-09-30,6.7980,2.3762
2022-10-31,7.4475,2.6381
2022-11-30,8.1317,2.8231
2022-12-30,7.7054,2.5850
2023-01-31,8.1202,2.7939
2023-02-28,7.8972,2.6819
2023-03-31,7.9298,2.7977
2023-04-28,8.0075,2.8400
2023-05-31,7.7034,2.8357
2023-06-30,8.1541,3.0687
2023-07-31,8.3348,3.1770
2023-08-31,8.1361,3.0842
2023-09-29,7.6584,2.8677
2023-10-31,7.3298,2.7645
2023-11-30,8.0582,3.0837
2023-12-29,8.4939,3.2467
